drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
CISATRACURIUM BESYLATE,ANAESTHETIC COMPLICATION NEUROLOGICAL,23,45,25,22,2,385231,23,22.0,2.0,385231,98448.43333333332,201370.75,-39813.9423674126,44745.99983724642,906230.2575214484,🟢 Weak
PARAGARD T 380A,FOREIGN BODY IN REPRODUCTIVE TRACT,490,646,493,156,3,384629,490,156.0,3.0,384629,97249.57688338491,402709.8504273504,-50.38628208529453,128040.9707907757,1266588.5195155228,🟢 Weak
ETHINYL ESTRADIOL\GESTODENE,DYSDIADOCHOKINESIS,3,6,5,3,2,385270,3,3.0,2.0,385270,96318.0,192635.0,115580.69997741882,23190.73603692561,1600132.1892463516,🔴 Strong
ETHINYL ESTRADIOL\GESTODENE,EAR CANAL INJURY,3,6,5,3,2,385270,3,3.0,2.0,385270,96318.0,192635.0,115580.69997741882,23190.73603692561,1600132.1892463516,🔴 Strong
METHIONINE,URETERIC DILATATION,4,8,6,4,2,385268,4,4.0,2.0,385268,96317.5,192634.0,128422.6666285986,27134.0520352109,1367575.2485418094,🔴 Strong
NOMEGESTROL ACETATE,EAR CANAL INJURY,4,16,5,12,1,385261,4,12.0,1.0,385261,96315.5,128420.33333333331,77051.79995899046,13357.70644182847,1234626.77408465,🔴 Strong
CHLORMADINONE ACETATE,AVOIDANT PERSONALITY DISORDER,3,24,3,21,0,385254,3,21.0,0.5,385254,96313.625,110072.57142857143,48157.12497956005,5348.373953081749,2265355.9917807765,🔴 Strong
BIFIDOBACTERIUM LONGUM,AMYLOID ARTHROPATHY,14,19,17,5,3,385256,14,5.0,3.0,385256,94625.01754385963,359572.26666666666,-150992.3967387114,78311.12697379744,1651006.9507627594,🟢 Weak
NIMESULIDE,NEONATAL RESPIRATORY ACIDOSIS,5,41,5,36,0,385237,5,36.0,0.5,385237,93960.36585365851,107010.27777777778,46980.73165034133,5740.106271307264,1994945.565262028,🔴 Strong
OLMESARTAN MEDOXOMIL,CARDIOPLEGIA,5,41,5,36,0,385237,5,36.0,0.5,385237,93960.36585365851,107010.27777777778,46980.73165034133,5740.106271307264,1994945.565262028,🔴 Strong
MAGNESIUM ASPARTATE\POTASSIUM ASPARTATE,FRACTIONAL EXHALED NITRIC OXIDE INCREASED,12,12,16,0,4,385262,12,0.5,4.0,385262,92463.84,2311572.0,288955.4999065581,115784.6467616663,46149167.96510081,🔴 Strong
